Source,Dataset,ID,Cycle,Chemistry,Profile,FSI,KI,DoD_%,T_avg_C,T_stress_norm,C_peak_norm,DCSS,RBF,CVI,SoH_%,Q_Ah,Health_Label
External,NASA_B0005,B0005,92,LiCoO2,CC,0.5037,0.3285,77.4,33.35,0.04,1.008,0.5967,1.8164,0.2334,83.39,1.5481,Degraded
External,NASA_B0005,B0005,93,LiCoO2,CC,0.5054,0.3403,76.62,33.15,0.04,1.0087,0.6138,1.8034,0.2272,82.54,1.5324,Degraded
External,NASA_B0005,B0005,94,LiCoO2,CC,0.5049,0.3409,76.35,33.01,0.04,1.009,0.6147,1.8027,0.2332,82.25,1.527,Degraded
External,NASA_B0005,B0005,95,LiCoO2,CC,0.5054,0.347,75.85,32.92,0.04,1.0083,0.6233,1.7959,0.2298,81.71,1.517,Degraded
External,NASA_B0005,B0005,96,LiCoO2,CC,0.5051,0.3476,75.59,33.0,0.04,1.0093,0.6243,1.7954,0.2317,81.44,1.5119,Degraded
External,NASA_B0005,B0005,97,LiCoO2,CC,0.5063,0.3532,75.33,33.04,0.04,1.0103,0.632,1.7894,0.2314,81.15,1.5066,Degraded
External,NASA_B0005,B0005,98,LiCoO2,CC,0.5056,0.3538,75.08,33.08,0.04,1.0087,0.6329,1.7885,0.2335,80.88,1.5015,Degraded
External,NASA_B0005,B0005,99,LiCoO2,CC,0.5066,0.3599,74.54,33.05,0.04,1.0112,0.6414,1.7816,0.2278,80.3,1.4908,Degraded
External,NASA_B0005,B0005,100,LiCoO2,CC,0.5071,0.3653,74.29,33.12,0.04,1.009,0.6486,1.7753,0.228,80.04,1.4859,Degraded
External,NASA_B0005,B0005,101,LiCoO2,CC,0.5067,0.3661,74.02,33.13,0.04,1.0092,0.6498,1.7743,0.2289,79.74,1.4804,End_of_Life
External,NASA_B0005,B0005,102,LiCoO2,CC,0.5061,0.3667,73.76,33.13,0.04,1.0086,0.6507,1.7739,0.2293,79.46,1.4752,End_of_Life
External,NASA_B0005,B0005,103,LiCoO2,CC,0.5056,0.3606,74.3,33.2,0.04,1.0085,0.6422,1.781,0.2332,80.04,1.4859,Degraded
External,NASA_B0005,B0005,104,LiCoO2,CC,0.5054,0.3544,74.8,33.79,0.04,1.0103,0.6338,1.788,0.2328,80.59,1.4961,Degraded
External,NASA_B0005,B0005,105,LiCoO2,CC,0.5053,0.3612,74.04,33.67,0.04,1.009,0.6432,1.7803,0.2335,79.76,1.4808,End_of_Life
External,NASA_B0005,B0005,106,LiCoO2,CC,0.5057,0.3674,73.49,33.54,0.04,1.009,0.6515,1.7731,0.2311,79.17,1.4698,End_of_Life
External,NASA_B0005,B0005,107,LiCoO2,CC,0.5053,0.3693,72.7,33.32,0.04,1.0138,0.6542,1.7707,0.2312,78.31,1.4539,End_of_Life
External,NASA_B0005,B0005,108,LiCoO2,CC,0.5072,0.3789,72.71,33.35,0.04,1.0087,0.667,1.7601,0.2295,78.33,1.4541,End_of_Life
External,NASA_B0005,B0005,109,LiCoO2,CC,0.5058,0.3742,72.75,33.65,0.04,1.0085,0.6608,1.7656,0.2343,78.38,1.455,End_of_Life
External,NASA_B0005,B0005,110,LiCoO2,CC,0.5068,0.3796,72.45,33.79,0.04,1.009,0.6678,1.7589,0.2334,78.05,1.449,End_of_Life
External,NASA_B0005,B0005,111,LiCoO2,CC,0.5085,0.3858,71.93,33.52,0.04,1.0145,0.676,1.7517,0.2291,77.49,1.4387,End_of_Life
External,NASA_B0005,B0005,112,LiCoO2,CC,0.5076,0.3864,71.67,33.39,0.04,1.0125,0.6768,1.7513,0.2296,77.21,1.4334,End_of_Life
External,NASA_B0005,B0005,113,LiCoO2,CC,0.5068,0.3864,71.67,33.67,0.04,1.0085,0.6768,1.7512,0.2334,77.21,1.4334,End_of_Life
External,NASA_B0005,B0005,114,LiCoO2,CC,0.5078,0.3919,71.4,33.91,0.04,1.0088,0.6838,1.7447,0.2303,76.92,1.4281,End_of_Life
External,NASA_B0005,B0005,115,LiCoO2,CC,0.5081,0.3926,71.15,33.79,0.04,1.0123,0.6846,1.7437,0.2305,76.65,1.4229,End_of_Life
External,NASA_B0005,B0005,116,LiCoO2,CC,0.5069,0.3933,70.87,33.61,0.04,1.0084,0.6855,1.7426,0.2319,76.35,1.4174,End_of_Life
External,NASA_B0005,B0005,117,LiCoO2,CC,0.5067,0.3939,70.62,33.46,0.04,1.0099,0.6864,1.742,0.2326,76.08,1.4124,End_of_Life
External,NASA_B0005,B0005,118,LiCoO2,CC,0.5066,0.394,70.63,33.72,0.04,1.0091,0.6864,1.7422,0.235,76.09,1.4126,End_of_Life
External,NASA_B0005,B0005,119,LiCoO2,CC,0.5075,0.3993,70.38,34.05,0.04,1.0089,0.6933,1.7359,0.2307,75.82,1.4076,End_of_Life
External,NASA_B0005,B0005,120,LiCoO2,CC,0.5054,0.3816,71.67,33.89,0.04,1.0086,0.6705,1.7568,0.2314,77.21,1.4334,End_of_Life
External,NASA_B0005,B0005,121,LiCoO2,CC,0.5066,0.3809,71.91,34.07,0.04,1.0129,0.6695,1.7573,0.234,77.47,1.4383,End_of_Life
External,NASA_B0005,B0005,122,LiCoO2,CC,0.5069,0.3933,70.87,33.75,0.04,1.0087,0.6856,1.7428,0.2295,76.35,1.4174,End_of_Life
External,NASA_B0005,B0005,123,LiCoO2,CC,0.5074,0.3994,70.35,33.46,0.04,1.0085,0.6933,1.7354,0.2293,75.79,1.407,End_of_Life
External,NASA_B0005,B0005,124,LiCoO2,CC,0.5069,0.4002,70.06,33.4,0.04,1.0087,0.6942,1.7345,0.2309,75.48,1.4012,End_of_Life
External,NASA_B0005,B0005,125,LiCoO2,CC,0.508,0.4055,69.84,33.41,0.04,1.0087,0.7011,1.7282,0.2317,75.23,1.3967,End_of_Life
External,NASA_B0005,B0005,126,LiCoO2,CC,0.506,0.4017,69.56,33.39,0.04,1.0081,0.6961,1.7327,0.232,74.94,1.3913,End_of_Life
External,NASA_B0005,B0005,127,LiCoO2,CC,0.5072,0.4071,69.31,33.37,0.04,1.0089,0.7029,1.7261,0.2326,74.67,1.3862,End_of_Life
External,NASA_B0005,B0005,128,LiCoO2,CC,0.508,0.4125,69.02,33.27,0.04,1.0082,0.7094,1.7196,0.232,74.36,1.3804,End_of_Life
External,NASA_B0005,B0005,129,LiCoO2,CC,0.5075,0.4132,68.76,33.22,0.04,1.0081,0.7104,1.7187,0.231,74.08,1.3752,End_of_Life
External,NASA_B0005,B0005,130,LiCoO2,CC,0.5072,0.4141,68.53,33.26,0.04,1.0082,0.7115,1.7178,0.2329,73.82,1.3705,End_of_Life
External,NASA_B0005,B0005,131,LiCoO2,CC,0.5072,0.414,68.53,33.31,0.04,1.0083,0.7113,1.7177,0.2349,73.82,1.3705,End_of_Life
External,NASA_B0005,B0005,132,LiCoO2,CC,0.508,0.4195,68.24,33.25,0.04,1.0078,0.7179,1.711,0.2337,73.51,1.3647,End_of_Life
External,NASA_B0005,B0005,133,LiCoO2,CC,0.5075,0.4133,68.77,33.75,0.04,1.0078,0.7104,1.7185,0.23,74.09,1.3754,End_of_Life
External,NASA_B0005,B0005,134,LiCoO2,CC,0.507,0.4071,69.31,33.89,0.04,1.0079,0.7029,1.7261,0.2305,74.66,1.3861,End_of_Life
External,NASA_B0005,B0005,135,LiCoO2,CC,0.5084,0.4187,68.49,33.74,0.04,1.008,0.7169,1.7121,0.2297,73.79,1.3699,End_of_Life
External,NASA_B0005,B0005,136,LiCoO2,CC,0.5081,0.4195,68.24,33.59,0.04,1.0083,0.7179,1.7111,0.2342,73.51,1.3648,End_of_Life
External,NASA_B0005,B0005,137,LiCoO2,CC,0.5088,0.4256,67.72,33.32,0.04,1.0091,0.7252,1.7035,0.2296,72.95,1.3543,End_of_Life
External,NASA_B0005,B0005,138,LiCoO2,CC,0.5086,0.4255,67.73,33.69,0.04,1.0081,0.725,1.7036,0.2314,72.97,1.3546,End_of_Life
External,NASA_B0005,B0005,139,LiCoO2,CC,0.5088,0.4256,67.74,33.89,0.04,1.0088,0.7252,1.7036,0.2342,72.97,1.3547,End_of_Life
External,NASA_B0005,B0005,140,LiCoO2,CC,0.5083,0.4264,67.47,33.67,0.04,1.0086,0.7263,1.7025,0.2343,72.68,1.3493,End_of_Life
External,NASA_B0005,B0005,141,LiCoO2,CC,0.5079,0.4273,67.21,33.41,0.04,1.0086,0.7272,1.7015,0.2357,72.4,1.3442,End_of_Life
External,NASA_B0005,B0005,142,LiCoO2,CC,0.5091,0.4326,66.95,33.3,0.04,1.0099,0.7334,1.6951,0.2348,72.12,1.339,End_of_Life
External,NASA_B0005,B0005,143,LiCoO2,CC,0.5088,0.4326,66.95,33.6,0.04,1.0084,0.7336,1.6951,0.2348,72.12,1.3389,End_of_Life
External,NASA_B0005,B0005,144,LiCoO2,CC,0.5088,0.4335,66.7,33.62,0.04,1.01,0.7344,1.6938,0.2327,71.86,1.334,End_of_Life
External,NASA_B0005,B0005,145,LiCoO2,CC,0.5094,0.4388,66.43,33.39,0.04,1.0084,0.7406,1.6871,0.2341,71.57,1.3286,End_of_Life
External,NASA_B0005,B0005,146,LiCoO2,CC,0.5089,0.4396,66.16,33.17,0.04,1.0082,0.7415,1.6862,0.2333,71.27,1.3232,End_of_Life
External,NASA_B0005,B0005,147,LiCoO2,CC,0.5099,0.4449,65.91,33.11,0.04,1.0081,0.7475,1.6796,0.2313,71.0,1.3182,End_of_Life
External,NASA_B0005,B0005,148,LiCoO2,CC,0.51,0.4449,65.92,33.47,0.04,1.0084,0.7476,1.6799,0.2311,71.02,1.3185,End_of_Life
External,NASA_B0005,B0005,149,LiCoO2,CC,0.5088,0.4405,65.91,33.44,0.04,1.0094,0.7426,1.6853,0.2343,71.01,1.3183,End_of_Life
External,NASA_B0005,B0005,150,LiCoO2,CC,0.509,0.4397,66.19,33.04,0.04,1.0081,0.7416,1.6864,0.2299,71.31,1.3239,End_of_Life
External,NASA_B0005,B0005,151,LiCoO2,CC,0.5069,0.4157,68.01,33.49,0.04,1.0108,0.7136,1.7159,0.2354,73.26,1.3601,End_of_Life
External,NASA_B0005,B0005,152,LiCoO2,CC,0.5076,0.428,66.98,33.49,0.04,1.0088,0.7281,1.7008,0.2314,72.15,1.3395,End_of_Life
External,NASA_B0005,B0005,153,LiCoO2,CC,0.5081,0.4343,66.45,33.33,0.04,1.0086,0.7355,1.693,0.2298,71.59,1.329,End_of_Life
External,NASA_B0005,B0005,154,LiCoO2,CC,0.509,0.4396,66.18,33.27,0.04,1.0083,0.7415,1.6862,0.2303,71.3,1.3237,End_of_Life
External,NASA_B0005,B0005,155,LiCoO2,CC,0.5086,0.4405,65.93,33.23,0.04,1.0079,0.7425,1.6851,0.2314,71.03,1.3186,End_of_Life
External,NASA_B0005,B0005,156,LiCoO2,CC,0.5096,0.4459,65.67,33.21,0.04,1.0081,0.7485,1.6786,0.2301,70.75,1.3135,End_of_Life
External,NASA_B0005,B0005,157,LiCoO2,CC,0.5083,0.4414,65.66,33.24,0.04,1.0084,0.7437,1.684,0.2331,70.74,1.3132,End_of_Life
External,NASA_B0005,B0005,158,LiCoO2,CC,0.5091,0.4467,65.39,33.19,0.04,1.0083,0.7495,1.6774,0.2319,70.44,1.3078,End_of_Life
External,NASA_B0005,B0005,159,LiCoO2,CC,0.509,0.4476,65.15,33.17,0.04,1.009,0.7505,1.6765,0.2304,70.19,1.303,End_of_Life
External,NASA_B0005,B0005,160,LiCoO2,CC,0.509,0.4477,65.17,33.25,0.04,1.009,0.7507,1.6764,0.2329,70.21,1.3034,End_of_Life
External,NASA_B0005,B0005,161,LiCoO2,CC,0.5076,0.4431,65.17,33.32,0.04,1.0089,0.7456,1.6819,0.2359,70.21,1.3034,End_of_Life
External,NASA_B0005,B0005,162,LiCoO2,CC,0.5084,0.4485,64.89,33.34,0.04,1.008,0.7515,1.6752,0.2326,69.91,1.2979,End_of_Life
External,NASA_B0005,B0005,163,LiCoO2,CC,0.5085,0.4484,64.9,33.29,0.04,1.0085,0.7513,1.6754,0.2358,69.92,1.2981,End_of_Life
External,NASA_B0005,B0005,164,LiCoO2,CC,0.5083,0.4493,64.67,33.28,0.04,1.0091,0.7524,1.6745,0.2333,69.67,1.2935,End_of_Life
External,NASA_B0005,B0005,165,LiCoO2,CC,0.5093,0.4548,64.4,33.32,0.04,1.0095,0.7585,1.6675,0.231,69.38,1.288,End_of_Life
External,NASA_B0005,B0005,166,LiCoO2,CC,0.5098,0.4549,64.37,33.37,0.04,1.0119,0.7587,1.6675,0.2324,69.35,1.2875,End_of_Life
External,NASA_B0005,B0005,167,LiCoO2,CC,0.5067,0.4377,65.45,33.71,0.04,1.0087,0.7394,1.6889,0.2298,70.51,1.309,End_of_Life
External,NASA_B0005,B0005,168,LiCoO2,CC,0.5066,0.4306,66.25,33.87,0.04,1.0088,0.7314,1.698,0.2356,71.38,1.3251,End_of_Life
