Source,Current_Mode,Dataset,ID,Sequence,Q_discharge_Ah,Q_nominal_Ah,SoH_%,DoD_%,CapFade_%,dSoH_per_cycle,EFC,Health_Label,C_rate_mean,C_rate_peak,T_avg_C,T_stress_norm,KI,KI_Source,RPA_ms2,CVI,RBF,DCSS,DCSS_Source,DCSS_Band,FSI,FSI_Source,FSI_Severity,Drive_Profile_Label,Fleet_DCSS_Equivalent,Profile_Rationale,Degradation_Driver,Expected_dSoH_from_FSI,Trip_ID,Distance_km,Drive_Time_min
Lab,Constant Current (CC),NASA,B0005,21,1.8246,2.0,91.23,91.23,8.77,0.0,19.16,Healthy,0.932,1.008,32.16,0.536,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4629,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,24,1.8142,2.0,90.71,90.71,9.29,-0.52,21.77,Healthy,0.937,1.008,32.36,0.5393,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4625,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,26,1.8138,2.0,90.69,90.69,9.31,-0.02,23.58,Healthy,0.941,1.008,32.32,0.5387,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4622,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,28,1.8134,2.0,90.67,90.67,9.33,-0.02,25.39,Healthy,0.941,1.008,32.16,0.536,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4615,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,30,1.8026,2.0,90.13,90.13,9.87,-0.54,27.04,Healthy,0.941,1.01,32.04,0.534,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4598,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,32,1.8021,2.0,90.11,90.11,9.89,-0.02,28.84,Healthy,0.946,1.008,31.93,0.5322,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4591,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,34,1.8026,2.0,90.13,90.13,9.87,0.02,30.64,Healthy,0.951,1.008,31.94,0.5323,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4592,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,36,1.8031,2.0,90.15,90.15,9.85,0.02,32.45,Healthy,0.957,1.009,31.97,0.5328,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4595,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,38,1.8028,2.0,90.14,90.14,9.86,-0.01,34.25,Healthy,0.957,1.009,31.97,0.5328,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4594,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,41,1.847,2.0,92.35,92.35,7.65,2.21,37.86,Healthy,0.928,1.008,32.37,0.5395,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4666,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,45,1.8474,2.0,92.37,92.37,7.63,0.02,41.57,Healthy,0.937,1.008,32.7,0.545,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.468,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,49,1.8362,2.0,91.81,91.81,8.19,-0.56,44.99,Healthy,0.937,1.008,32.32,0.5387,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.465,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,53,1.8258,2.0,91.29,91.29,8.71,-0.52,48.38,Healthy,0.942,1.008,31.99,0.5332,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4623,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,57,1.8251,2.0,91.26,91.26,8.74,-0.03,52.02,Healthy,0.937,1.009,31.89,0.5315,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4619,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,61,1.8256,2.0,91.28,91.28,8.72,0.02,55.68,Healthy,0.957,1.008,31.78,0.5297,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4614,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,65,1.814,2.0,90.7,90.7,9.3,-0.58,58.96,Healthy,0.952,1.008,31.69,0.5282,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4596,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,69,1.8148,2.0,90.74,90.74,9.26,0.04,62.61,Healthy,0.957,1.012,31.6,0.5267,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4597,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,73,1.814,2.0,90.7,90.7,9.3,-0.04,66.21,Healthy,0.957,1.009,31.57,0.5262,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4591,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,77,1.8028,2.0,90.14,90.14,9.86,-0.56,69.41,Healthy,0.951,1.009,31.59,0.5265,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4578,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,81,1.8041,2.0,90.2,90.2,9.8,0.06,73.06,Healthy,0.957,1.008,31.6,0.5267,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.458,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,85,1.8518,2.0,92.59,92.59,7.41,2.39,78.7,Healthy,0.96,1.008,31.92,0.532,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4653,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,89,1.8307,2.0,91.54,91.54,8.46,-1.05,81.47,Healthy,0.965,1.009,32.08,0.5347,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4634,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,93,1.8199,2.0,91.0,91.0,9.0,-0.54,84.63,Healthy,0.965,1.008,31.85,0.5308,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.461,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,97,1.8093,2.0,90.47,90.47,9.53,-0.53,87.76,Healthy,0.962,1.01,31.47,0.5245,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4582,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,101,1.8046,2.0,90.23,90.23,9.77,-0.24,91.13,Healthy,0.964,1.008,31.41,0.5235,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4572,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,105,1.7994,2.0,89.97,89.97,10.03,-0.26,94.47,Degraded,0.962,1.01,31.9,0.5317,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4588,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,109,1.7884,2.0,89.42,89.42,10.58,-0.55,97.47,Degraded,0.959,1.008,31.65,0.5275,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4563,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,113,1.7829,2.0,89.15,89.15,10.85,-0.27,100.74,Degraded,0.961,1.009,31.49,0.5248,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4549,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,117,1.773,2.0,88.65,88.65,11.35,-0.5,103.72,Degraded,0.958,1.009,31.33,0.5222,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4531,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,121,1.773,2.0,88.65,88.65,11.35,0.0,107.27,Degraded,0.961,1.009,31.57,0.5262,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4541,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,125,1.7679,2.0,88.39,88.39,11.61,-0.26,110.49,Degraded,0.958,1.008,32.11,0.5352,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4556,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,129,1.7623,2.0,88.12,88.12,11.88,-0.27,113.67,Degraded,0.958,1.009,32.27,0.5378,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4556,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,133,1.7676,2.0,88.38,88.38,11.62,0.26,117.55,Degraded,0.956,1.008,31.84,0.5307,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4544,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
