Source,Dataset,ID,Cycle,Chemistry,Profile,FSI,KI,DoD_%,T_avg_C,T_stress_norm,C_peak_norm,DCSS,RBF,CVI,SoH_%,Q_Ah,Health_Label
External,Oxford_BMR,Oxford_BMR_C1,9,NMC,BMR,0.7706,0.475,91.0,12.35,0.5062,1.3703,5.8087,12.2288,0.6254,91.0,15.6745,Healthy
External,Oxford_BMR,Oxford_BMR_C1,10,NMC,BMR,0.7611,0.4855,88.83,12.43,0.5026,1.3384,5.9131,12.1799,0.6254,88.83,15.3015,Degraded
External,Oxford_BMR,Oxford_BMR_C1,11,NMC,BMR,0.7442,0.4803,87.35,12.14,0.5145,1.2656,5.7906,12.057,0.6265,87.35,15.0473,Degraded
External,Oxford_BMR,Oxford_BMR_C1,12,NMC,BMR,0.7683,0.4919,85.97,12.0,0.5198,1.3793,5.8297,11.8518,0.6229,85.97,14.8082,Degraded
External,Oxford_BMR,Oxford_BMR_C2,1,NMC,BMR,0.7442,0.2969,99.63,11.42,0.5431,1.3513,4.331,14.5891,0.5867,99.63,17.1664,Healthy
External,Oxford_BMR,Oxford_BMR_C2,2,NMC,BMR,0.7747,0.3087,98.96,7.55,0.6978,1.3013,4.3941,14.2355,1.1714,98.96,17.0499,Healthy
External,Oxford_BMR,Oxford_BMR_C2,3,NMC,BMR,0.7681,0.3381,98.28,11.0,0.5602,1.4044,4.7265,13.9778,1.4296,98.28,16.9336,Healthy
External,Oxford_BMR,Oxford_BMR_C2,4,NMC,BMR,0.7656,0.3844,97.35,11.2,0.552,1.3446,5.144,13.3831,1.064,97.35,16.7737,Healthy
External,Oxford_BMR,Oxford_BMR_C2,5,NMC,BMR,0.793,0.4066,95.96,10.71,0.5714,1.4414,5.3527,13.1639,0.618,95.96,16.5342,Healthy
External,Oxford_BMR,Oxford_BMR_C2,6,NMC,BMR,0.7773,0.4372,94.61,11.25,0.5498,1.3605,5.6594,12.9436,0.6233,94.61,16.3019,Healthy
External,Oxford_BMR,Oxford_BMR_C2,7,NMC,BMR,0.832,0.4823,93.02,6.8,0.728,1.3639,6.0141,12.4709,0.5927,93.02,16.028,Healthy
External,Oxford_BMR,Oxford_BMR_C2,8,NMC,BMR,0.8225,0.4612,91.46,6.39,0.7445,1.347,5.8818,12.7537,0.5867,91.46,15.7589,Healthy
External,Oxford_BMR,Oxford_BMR_C2,9,NMC,BMR,0.7778,0.478,89.55,11.35,0.546,1.3702,5.8682,12.2766,0.6188,89.55,15.4286,Degraded
External,Oxford_BMR,Oxford_BMR_C2,10,NMC,BMR,0.7632,0.5036,87.98,12.53,0.4989,1.3374,5.9912,11.8961,0.6322,87.98,15.158,Degraded
External,Oxford_BMR,Oxford_BMR_C2,11,NMC,BMR,0.7394,0.492,86.42,12.76,0.4898,1.2665,5.8272,11.8445,0.633,86.42,14.8899,Degraded
External,Oxford_BMR,Oxford_BMR_C2,12,NMC,BMR,0.763,0.5024,85.15,12.65,0.4941,1.3792,5.8995,11.7417,0.6309,85.15,14.6709,Degraded
External,Oxford_SPM,Oxford_SPM_C1,1,NMC,SPM,0.8257,0.9737,100.0,19.44,0.2223,1.1402,4.7393,4.8671,0.2167,100.0,17.2407,Healthy
External,Oxford_SPM,Oxford_SPM_C1,2,NMC,SPM,0.831,0.9658,99.79,17.02,0.3193,1.0598,4.294,4.4461,1.0379,99.79,17.1462,Healthy
External,Oxford_SPM,Oxford_SPM_C1,3,NMC,SPM,0.889,1.0788,99.62,17.75,0.2901,1.2191,5.1989,4.8193,1.3231,99.62,17.1164,Healthy
External,Oxford_SPM,Oxford_SPM_C1,4,NMC,SPM,0.8805,1.0385,99.73,17.59,0.2962,1.2277,4.8092,4.6308,0.8835,99.73,17.1353,Healthy
External,Oxford_SPM,Oxford_SPM_C1,5,NMC,SPM,0.8785,0.9701,99.73,17.14,0.3143,1.2976,4.3727,4.5073,0.3442,99.73,17.136,Healthy
External,Oxford_SPM,Oxford_SPM_C1,6,NMC,SPM,0.7778,0.9045,99.61,17.32,0.3073,0.903,3.4421,3.8053,0.3677,99.61,17.1155,Healthy
External,Oxford_SPM,Oxford_SPM_C1,7,NMC,SPM,0.7997,0.9523,99.48,17.81,0.2875,0.9672,3.2659,3.4295,0.3636,99.48,17.092,Healthy
External,Oxford_SPM,Oxford_SPM_C1,8,NMC,SPM,0.8247,0.9266,99.4,17.14,0.3145,1.098,3.7542,4.0516,0.3524,99.4,17.0783,Healthy
External,Oxford_SPM,Oxford_SPM_C1,9,NMC,SPM,0.8402,0.9543,99.01,17.02,0.3193,1.1327,4.8397,5.0716,0.4039,99.01,17.0124,Healthy
External,Oxford_SPM,Oxford_SPM_C1,10,NMC,SPM,0.8579,1.0061,98.81,17.52,0.2992,1.1712,4.3105,4.2842,0.4093,98.81,16.9769,Healthy
External,Oxford_SPM,Oxford_SPM_C1,11,NMC,SPM,0.8356,0.9553,98.55,16.58,0.337,1.0917,4.4614,4.6703,0.4086,98.55,16.9335,Healthy
External,Oxford_SPM,Oxford_SPM_C1,12,NMC,SPM,0.838,0.9436,98.35,16.57,0.3372,1.1237,4.4755,4.7429,0.4273,98.35,16.8988,Healthy
External,Oxford_SPM,Oxford_SPM_C2,1,NMC,SPM,0.8257,0.9693,100.0,19.35,0.226,1.142,4.7651,4.9159,0.2189,100.0,17.205,Healthy
External,Oxford_SPM,Oxford_SPM_C2,2,NMC,SPM,0.8296,0.9635,99.75,17.12,0.3151,1.0617,4.3069,4.4699,1.0515,99.75,17.1096,Healthy
External,Oxford_SPM,Oxford_SPM_C2,3,NMC,SPM,0.8855,1.08,99.45,18.13,0.2749,1.221,5.2788,4.888,1.3464,99.45,17.0589,Healthy
External,Oxford_SPM,Oxford_SPM_C2,4,NMC,SPM,0.8782,1.0526,99.75,18.29,0.2682,1.2301,4.9547,4.707,0.8865,99.75,17.1097,Healthy
External,Oxford_SPM,Oxford_SPM_C2,5,NMC,SPM,0.8794,0.9707,99.58,17.08,0.3168,1.3001,4.3462,4.4772,0.3492,99.58,17.0805,Healthy
External,Oxford_SPM,Oxford_SPM_C2,6,NMC,SPM,0.7828,0.9221,99.52,17.35,0.3058,0.9046,3.4533,3.7448,0.3537,99.52,17.0696,Healthy
External,Oxford_SPM,Oxford_SPM_C2,7,NMC,SPM,0.7941,0.968,99.39,18.25,0.2701,0.9383,3.1429,3.2468,0.3475,99.39,17.0476,Healthy
External,Oxford_SPM,Oxford_SPM_C2,8,NMC,SPM,0.8256,0.9542,99.28,17.87,0.2851,1.0995,3.7213,3.9,0.3367,99.28,17.0298,Healthy
External,Oxford_SPM,Oxford_SPM_C2,9,NMC,SPM,0.8333,0.9385,98.91,17.24,0.3102,1.1347,4.8413,5.1588,0.3912,98.91,16.9656,Healthy
External,Oxford_SPM,Oxford_SPM_C2,10,NMC,SPM,0.8587,1.0179,98.78,17.82,0.2871,1.1731,4.379,4.3021,0.3971,98.78,16.944,Healthy
External,Oxford_SPM,Oxford_SPM_C2,11,NMC,SPM,0.8387,0.9889,98.46,17.29,0.3086,1.0935,4.6053,4.6571,0.4036,98.46,16.8885,Healthy
External,Oxford_SPM,Oxford_SPM_C2,12,NMC,SPM,0.8353,0.9644,98.23,17.47,0.301,1.1255,4.6678,4.8402,0.4225,98.23,16.8497,Healthy
