car_id,mileage_km,capacity_ah,soh_pct,health_label,anomaly_flag,ki_mean,dod_mean,t_avg_c,c_rate_mean,snippet_count,ki_mean_norm,dod_mean_norm,t_avg_c_norm,c_rate_mean_norm,FSI
29,157248.8544,41.451,89.66,Degraded,0,0.0193,0.0022,15.02,0.4171,3907,0.0538,0.125,0.7569,0.845,0.4056
30,176974.61760000003,40.697,88.03,Degraded,0,0.023,0.0021,13.31,0.4037,2226,0.0814,0.1111,0.5671,0.8024,0.3545
31,159569.3088,37.659,81.46,Degraded,0,0.0191,0.0021,15.35,0.4297,2693,0.0523,0.1111,0.7936,0.885,0.4189
32,122139.8112,43.263,93.58,Healthy,1,0.0432,0.0085,16.75,0.3869,1916,0.2323,1.0,0.9489,0.749,0.7067
33,213740.31360000002,37.751,81.66,Degraded,0,0.0195,0.0021,14.19,0.4567,4124,0.0553,0.1111,0.6648,0.9708,0.4047
34,161461.344,39.431,85.29,Degraded,0,0.0217,0.0023,16.31,0.4064,4790,0.0717,0.1389,0.9001,0.811,0.4435
35,163521.3888,40.565,87.75,Degraded,0,0.0224,0.0025,15.2,0.4326,4842,0.0769,0.1667,0.7769,0.8942,0.4378
36,222939.12960000001,40.764,88.18,Degraded,0,0.0165,0.0022,14.54,0.4201,6444,0.0329,0.125,0.7037,0.8545,0.3879
38,166514.09279999998,38.573,83.44,Degraded,0,0.013,0.0015,15.4,0.1918,639,0.0067,0.0278,0.7991,0.1293,0.2346
41,200525.10720000003,42.698,92.36,Healthy,0,0.0188,0.002,13.99,0.4013,3926,0.05,0.0972,0.6426,0.7948,0.3589
43,164377.2768,42.622,92.2,Healthy,0,0.0221,0.0021,13.98,0.4319,4629,0.0747,0.1111,0.6415,0.892,0.389
44,155151.95520000003,39.112,84.6,Degraded,0,0.0239,0.0027,13.28,0.444,1540,0.0881,0.1944,0.5638,0.9304,0.4021
46,152610.48,40.83,88.32,Degraded,0,0.0234,0.0056,11.35,0.3986,542,0.0844,0.5972,0.3496,0.7862,0.4193
48,159747.984,40.812,88.28,Degraded,0,0.0253,0.003,12.2,0.1511,1705,0.0986,0.2361,0.444,0.0,0.1996
49,106310.0544,42.385,91.68,Healthy,0,0.0176,0.0021,15.48,0.3712,4508,0.0411,0.1111,0.808,0.6992,0.3819
50,210937.056,39.375,85.17,Degraded,0,0.0214,0.0025,15.33,0.4293,7221,0.0695,0.1667,0.7913,0.8837,0.4371
51,267515.5296,43.132,93.3,Healthy,0,0.0178,0.0022,15.53,0.4185,9101,0.0426,0.125,0.8135,0.8494,0.4173
52,155433.168,37.825,81.82,Degraded,0,0.0202,0.0028,14.51,0.4171,1816,0.0605,0.2083,0.7003,0.845,0.4143
53,159688.9536,40.213,86.99,Degraded,0,0.022,0.002,13.93,0.4456,3641,0.0739,0.0972,0.636,0.9355,0.3926
56,163757.2992,42.927,92.86,Healthy,0,0.0141,0.0015,14.61,0.2133,5884,0.0149,0.0278,0.7114,0.1976,0.2288
57,211489.66079999998,37.82,81.81,Degraded,0,0.0204,0.0022,14.21,0.4443,5380,0.062,0.125,0.667,0.9314,0.4029
60,139035.17760000002,40.116,86.77,Degraded,0,0.0224,0.0017,13.17,0.1851,1498,0.0769,0.0556,0.5516,0.108,0.1965
62,177886.5792,40.239,87.04,Degraded,0,0.0261,0.0021,15.75,0.4263,3756,0.1046,0.1111,0.838,0.8742,0.4435
63,152719.0368,41.037,88.77,Degraded,0,0.0196,0.0026,10.92,0.1883,3794,0.056,0.1806,0.3019,0.1182,0.1611
65,204289.6416,40.412,87.41,Degraded,0,0.0135,0.0026,12.38,0.1949,2921,0.0105,0.1806,0.4639,0.1391,0.1921
66,152909.328,38.619,83.54,Degraded,0,0.0507,0.0066,8.2,0.2448,454,0.2883,0.7361,0.0,0.2976,0.33
67,205420.4064,38.776,83.88,Degraded,0,0.0185,0.0021,15.35,0.4595,5319,0.0478,0.1111,0.7936,0.9797,0.4365
68,181410.1344,40.333,87.24,Degraded,0,0.0221,0.0026,14.13,0.4475,4451,0.0747,0.1806,0.6582,0.9416,0.4204
69,189459.07200000001,42.486,91.9,Healthy,0,0.0219,0.0025,14.95,0.3992,7616,0.0732,0.1667,0.7492,0.7881,0.4086
75,158247.7248,40.176,86.9,Degraded,0,0.0213,0.0023,15.46,0.4352,3372,0.0687,0.1389,0.8058,0.9025,0.4373
77,242275.65120000002,38.721,83.76,Degraded,0,0.0409,0.0023,14.05,0.4226,3791,0.2151,0.1389,0.6493,0.8625,0.4341
78,163518.22079999998,40.113,86.77,Degraded,0,0.0193,0.0024,14.61,0.4607,2926,0.0538,0.1528,0.7114,0.9835,0.4289
80,175391.9904,40.376,87.34,Degraded,0,0.0245,0.0074,8.99,0.4271,943,0.0926,0.8472,0.0877,0.8767,0.4368
81,170611.79520000002,40.395,87.38,Degraded,0,0.0207,0.0019,15.02,0.4154,2637,0.0642,0.0833,0.7569,0.8396,0.3972
82,79903.6128,43.308,93.68,Healthy,0,0.0236,0.0027,12.94,0.4242,773,0.0859,0.1944,0.5261,0.8675,0.3794
83,117327.1968,38.994,84.35,Degraded,0,0.0123,0.0017,12.28,0.1901,1962,0.0015,0.0556,0.4528,0.1239,0.1523
87,199984.752,35.608,77.02,EOL,0,0.0759,0.0021,15.62,0.406,3678,0.4765,0.1111,0.8235,0.8097,0.5385
91,179704.90560000003,42.631,92.22,Healthy,0,0.0189,0.002,15.68,0.3913,7405,0.0508,0.0972,0.8302,0.763,0.3997
94,180813.70560000002,41.939,90.72,Healthy,0,0.0247,0.0025,13.66,0.4268,4116,0.0941,0.1667,0.606,0.8758,0.3966
97,199782.6336,42.14,91.15,Healthy,0,0.0183,0.0021,15.84,0.4244,3053,0.0463,0.1111,0.8479,0.8682,0.4273
98,185247.84960000002,39.909,86.33,Degraded,0,0.019,0.0021,16.69,0.4394,2734,0.0515,0.1111,0.9423,0.9158,0.462
105,172858.85760000002,37.499,81.11,Degraded,0,0.023,0.0029,14.38,0.4647,703,0.0814,0.2222,0.6859,0.9962,0.4507
107,154669.8912,39.583,85.62,Degraded,0,0.0234,0.0022,15.53,0.451,1640,0.0844,0.125,0.8135,0.9527,0.4505
108,189291.0624,37.315,80.72,Degraded,0,0.0159,0.002,15.3,0.3798,5053,0.0284,0.0972,0.788,0.7265,0.3751
111,175834.8768,40.998,88.68,Degraded,0,0.0218,0.0028,14.39,0.4428,2471,0.0724,0.2083,0.687,0.9266,0.4309
112,166674.7104,38.252,82.74,Degraded,0,0.0272,0.002,14.45,0.2303,915,0.1128,0.0972,0.6937,0.2516,0.2819
114,172326.1056,41.514,89.8,Degraded,0,0.146,0.0019,15.52,0.3383,2813,1.0,0.0833,0.8124,0.5947,0.6429
115,218945.76,39.473,85.38,Degraded,0,0.0186,0.0023,14.06,0.4241,3696,0.0485,0.1389,0.6504,0.8672,0.3853
117,173223.4944,37.642,81.42,Degraded,0,0.0327,0.0046,12.14,0.401,3110,0.1538,0.4583,0.4373,0.7938,0.4288
118,167988.3744,37.551,81.23,Degraded,0,0.021,0.0025,14.04,0.4524,3137,0.0665,0.1667,0.6482,0.9571,0.4151
119,236497.64160000003,37.993,82.18,Degraded,0,0.0433,0.0024,14.34,0.4049,4733,0.233,0.1528,0.6815,0.8062,0.4397
120,154021.50720000002,46.172,99.88,Healthy,0,0.0196,0.0022,15.53,0.3997,470,0.056,0.125,0.8135,0.7897,0.4094
121,206066.1504,37.354,80.8,Degraded,0,0.0293,0.0027,9.83,0.4635,811,0.1285,0.1944,0.1809,0.9924,0.3309
128,194497.88160000002,41.045,88.78,Degraded,0,0.0286,0.0024,14.98,0.4142,3716,0.1232,0.1528,0.7525,0.8358,0.4304
129,170217.0624,40.117,86.78,Degraded,0,0.0336,0.0023,13.85,0.4201,4612,0.1606,0.1389,0.6271,0.8545,0.4106
131,147185.3856,44.677,96.64,Healthy,0,0.0186,0.0022,16.0,0.4039,6926,0.0485,0.125,0.8657,0.803,0.4228
134,149866.7808,39.551,85.55,Degraded,0,0.0298,0.0039,11.17,0.4064,390,0.1322,0.3611,0.3296,0.811,0.3745
136,169191.15840000001,37.414,80.93,Degraded,0,0.0196,0.0022,15.89,0.3899,2176,0.056,0.125,0.8535,0.7586,0.4131
139,212712.8256,38.75,83.82,Degraded,0,0.0138,0.0023,14.57,0.3845,5205,0.0127,0.1389,0.707,0.7414,0.3636
140,164935.584,41.807,90.43,Healthy,0,0.015,0.002,16.03,0.3755,7585,0.0217,0.0972,0.869,0.7128,0.3906
141,170763.01440000001,37.72,81.59,Degraded,0,0.0203,0.0023,16.1,0.4274,4609,0.0612,0.1389,0.8768,0.8777,0.4478
147,156456.432,38.571,83.43,Degraded,0,0.0149,0.0027,13.66,0.4282,1051,0.0209,0.1944,0.606,0.8802,0.3824
150,178566.11520000003,40.487,87.58,Degraded,0,0.0419,0.0024,13.38,0.4231,4744,0.2226,0.1528,0.5749,0.864,0.4215
151,139676.9088,43.892,94.94,Healthy,0,0.0284,0.0025,15.14,0.4145,447,0.1217,0.1667,0.7703,0.8367,0.4381
152,160368.2784,41.561,89.9,Degraded,0,0.0264,0.0018,15.23,0.3269,5865,0.1068,0.0694,0.7802,0.5584,0.3561
153,175756.5216,42.043,90.94,Healthy,0,0.0193,0.0023,14.49,0.4421,4192,0.0538,0.1389,0.6981,0.9244,0.4103
155,211458.29760000002,40.332,87.24,Degraded,0,0.0259,0.0023,12.94,0.4302,5399,0.1031,0.1389,0.5261,0.8866,0.3745
156,150891.2064,40.804,88.26,Degraded,0,0.02,0.0026,14.83,0.4456,1780,0.059,0.1806,0.7358,0.9355,0.4339
157,212420.1024,40.691,88.02,Degraded,0,0.0218,0.0026,14.71,0.4544,4711,0.0724,0.1806,0.7225,0.9635,0.4402
158,160597.21920000002,42.326,91.55,Healthy,0,0.0222,0.0037,13.54,0.4119,3659,0.0754,0.3333,0.5927,0.8285,0.4198
159,168656.5056,37.572,81.27,Degraded,0,0.0257,0.0023,14.52,0.461,1967,0.1016,0.1389,0.7014,0.9844,0.4374
162,175384.38720000003,37.477,81.07,Degraded,0,0.0344,0.0033,10.51,0.1788,2804,0.1665,0.2778,0.2564,0.088,0.2011
165,183723.30240000002,39.058,84.49,Degraded,0,0.0211,0.0027,14.87,0.4426,3821,0.0672,0.1944,0.7403,0.926,0.439
166,190660.90560000003,37.1,80.25,Degraded,0,0.0332,0.0053,8.65,0.2814,844,0.1576,0.5556,0.0499,0.4139,0.2814
167,197463.024,38.539,83.36,Degraded,0,0.0204,0.0023,13.55,0.4178,4945,0.062,0.1389,0.5938,0.8472,0.3712
168,113786.95680000001,42.879,92.75,Healthy,0,0.023,0.0017,13.43,0.4324,525,0.0814,0.0556,0.5805,0.8936,0.3622
170,181355.7504,39.557,85.57,Degraded,0,0.0206,0.002,14.76,0.4194,3641,0.0635,0.0972,0.7281,0.8523,0.3958
175,203454.97920000003,40.753,88.15,Degraded,0,0.0223,0.0026,12.92,0.4443,4817,0.0762,0.1806,0.5239,0.9314,0.3853
176,160795.008,41.49,89.75,Degraded,0,0.0196,0.0019,15.51,0.423,5305,0.056,0.0833,0.8113,0.8637,0.4132
183,162351.6576,35.064,75.85,EOL,0,0.0182,0.0024,14.74,0.4309,1847,0.0456,0.1528,0.7259,0.8888,0.4111
184,41923.200000000004,40.26,87.09,Degraded,1,0.0214,0.004,14.58,0.3815,1004,0.0695,0.375,0.7081,0.7319,0.438
185,75264.92160000002,41.24,89.21,Degraded,1,0.0191,0.0018,17.21,0.4154,1307,0.0523,0.0694,1.0,0.8396,0.451
187,158666.112,41.435,89.63,Degraded,0,0.0202,0.0032,14.0,0.417,4348,0.0605,0.2639,0.6437,0.8447,0.414
